Modbus holding-register scan
port=COM8  slave=10  baud=9600 8N1  range=0x0-0x2100
started=2026-07-24 21:28:10

  ADDR(dec)   ADDR(hex)   RAW    UINT16   FLOAT32(this,next)
  5411        0x1523      8F5C   36700    -1.085909343300923e-29
  5412        0x1524      3FA3   16291    1.2799999713897705
  5413        0x1525      D70A   55050    -152000855539712.0
  5414        0x1526      3E75   15989    0.23999999463558197
  5415        0x1527      C28F   49807    -71.6233139038086
  5416        0x1528      3F23   16163    0.6399999856948853
  5417        0x1529      D70A   55050    -152002315157504.0
  5418        0x152a      3ECC   16076    0.4000000059604645
  5419        0x152b      CCCD   52429    -107611480.0
  5420        0x152c      40AB   16555    5.360000133514404
  5421        0x152d      851F   34079    -7.487863858962098e-36
  5422        0x152e      3FCF   16335    1.6200000047683716
  5423        0x152f      5C29   23593    1.9055842179416064e+17
  5424        0x1530      3FF8   16376    1.940000057220459
  5425        0x1531      51EC   20972    126835499008.0
  5426        0x1532      3FE1   16353    1.7599999904632568
  5427        0x1533      47AE   18350    89470.140625
  5428        0x1534      BF12   48914    -0.5709999799728394
  5429        0x1535      2D0E   11534    8.114188140839751e-12
  5430        0x1536      BF0E   48910    -0.5559999942779541
  5431        0x1537      5604   22020    36489048096768.0
  5432        0x1538      BF13   48915    -0.5770000219345093
  5433        0x1539      B646   46662    -2.961552127089817e-06
  5434        0x153a      BF14   48916    -0.5789999961853027
  5435        0x153b      3958   14680    0.0002062431158265099
  5436        0x153c      42F7   17143    123.69999694824219
  5437        0x153d      6666   26214    2.7184494764184818e+23
  5438        0x153e      42FA   17146    125.19999694824219
  5439        0x153f      6666   26214    2.7184494764184818e+23
  5440        0x1540      42FA   17146    125.30000305175781
  5441        0x1541      999A   39322    -1.5923226791645783e-23
  5442        0x1542      0000   0        0.0
  5443        0x1543      0000   0        0.0
  5444        0x1544      0000   0        0.0
  5445        0x1545      0000   0        0.0
  5446        0x1546      0000   0        0.0
  5447        0x1547      0000   0        0.0
